DEPTH,AC,CNL,DEN,GR,SP,RT
1973.0,0.40714947769232696,0.4900526623756583,0.9131403118040087,0.19855338545788354,0.7997515968772179,0.02378711659072393
1973.125,0.42322369464832965,0.4967817437097719,0.9242761692650329,0.20542243043904912,0.8062219067896854,0.02626738614795406
1973.25,0.4358659619061933,0.48888238736102985,0.9331848552338525,0.21561520686271407,0.8013721315353678,0.028603217805582073
1973.375,0.43082241539116717,0.4956114686951433,0.9376391982182628,0.22234813712766288,0.8018452803406672,0.0289462578171371
1973.5,0.39903304190986744,0.4847864248098303,0.904231625835189,0.22309835079611284,0.7994440501537735,0.027806552515589136
1973.625,0.36494735172056747,0.4613809245172616,0.8908685968819602,0.21776771865404698,0.7913768630234208,0.027982586205729215
1973.75,0.3556785824628207,0.43914569923932123,0.873051224944321,0.20595422746984896,0.7813697657913414,0.031496489481987015
1973.875,0.34715298479420825,0.3946752486834406,0.8574610244988864,0.18022221518786993,0.7880411639460613,0.03894858236458383
1974.0,0.3168249037634543,0.3484493856056174,0.8619153674832957,0.17133677313158813,0.7880056777856637,0.043757913052898126
1974.125,0.3070551199512347,0.33791691047396133,0.859688195991091,0.17362856509765437,0.7792997397681573,0.04056448136638252
1974.25,0.29913073974798965,0.34552369806904626,0.8619153674832957,0.181747966192903,0.7759640406907973,0.03704380756358089
1974.375,0.2943544009953489,0.3657109420713868,0.866369710467706,0.18869931309550186,0.7796309439318666,0.035055529601870465
1974.5,0.3201148993378258,0.41193680514921005,0.8530066815144761,0.18787945933968536,0.7765436479772889,0.033800725349077056
1974.625,0.32336314369932456,0.4110590988882387,0.8530066815144761,0.19880662213921688,0.7722971374497279,0.03322297375066859
1974.75,0.3184030996100436,0.40579286132241077,0.8396436525612472,0.20481466240384918,0.7745564229950319,0.03437847694748553
1974.875,0.3075978857185802,0.38531304856641313,0.8285077951002229,0.20202272799214965,0.7778329784717295,0.03764187074162091
1975.0,0.2973604883221858,0.3469865418373318,0.8262806236080172,0.1849640720458358,0.7808611308256447,0.040521601364938147
1975.125,0.2903796855298646,0.2960795787009947,0.815144766146993,0.15667120382387387,0.7846108351076413,0.04783151319011413
1975.25,0.2742136159055422,0.24868344060854305,0.8129175946547884,0.14510145294545915,0.7918854979891177,0.05213756807200228
1975.375,0.28639661982180575,0.25716793446459923,0.8173719376391977,0.15912759963280684,0.7980127750177431,0.04627429208502878
1975.5,0.2935945289210653,0.291398478642481,0.8262806236080172,0.17461935361337083,0.804518571090608,0.03719050230536428
1975.625,0.30590278647594715,0.34610883557636046,0.8285077951002229,0.18857269475483524,0.8071682044002839,0.031234695788958176
