DEPTH,AC,CNL,DEN,GR,SP,RT
1888,0.362543308,0.190959653,0.804253979,0.09231442,0.745927454,0.048752176
1888.125,0.297527946,0.172183929,0.845892205,0.092474999,0.749480713,0.052382147
1888.25,0.277185868,0.177673594,0.866091518,0.09303819,0.75464068,0.050519264
1888.375,0.25447239,0.17160037,0.875011273,0.092734489,0.759391513,0.050805269
1888.5,0.232394326,0.168625413,0.886953376,0.092663071,0.764251972,0.050515481
1888.625,0.247359312,0.170561202,0.854264611,0.092339341,0.768258018,0.049887135
1888.75,0.252398642,0.17118116,0.83353465,0.092083218,0.772493003,0.049349505
1888.875,0.250067286,0.170485288,0.824763495,0.091894702,0.776807011,0.048902592
1889,0.249710899,0.170141991,0.812787988,0.09168807,0.781099844,0.048431371
1889.125,0.244822153,0.176975831,0.836328086,0.092985509,0.783310966,0.049494035
1889.25,0.241147849,0.181886563,0.850351807,0.093879934,0.786079881,0.050145695
1889.375,0.238687987,0.162231046,0.85485915,0.094371344,0.789369693,0.050386352
1889.5,0.235902716,0.149158035,0.861916398,0.094970742,0.792519931,0.050737138
1889.625,0.227679892,0.15725864,0.859457269,0.095167125,0.795407289,0.051877166
1889.75,0.220914056,0.159685791,0.859548045,0.095471495,0.798365086,0.052805717
1889.875,0.215605208,0.15643949,0.862188727,0.095883853,0.801393321,0.053522791
1890,0.209905962,0.154713385,0.864146164,0.096267275,0.804402682,0.05429653
1890.125,0.216350274,0.159187203,0.866613273,0.096748276,0.80660358,0.053818135
1890.25,0.219540729,0.161999757,0.868943816,0.097203131,0.809021105,0.053675249
1890.375,0.219477327,0.163151046,0.871137792,0.097631839,0.811655257,0.053867871
1890.5,0.220285794,0.16474747,0.873368362,0.098067554,0.814231365,0.053970594
1890.625,0.219415151,0.16468263,0.875462365,0.095146446,0.815953468,0.054153939
1890.75,0.218994423,0.165062924,0.877592961,0.093124796,0.817904401,0.054315682
1890.875,0.219023612,0.165888352,0.879760149,0.092002604,0.819805109,0.054455822
1891,0.218932247,0.166594507,0.881917533,0.090639402,0.821719274,0.054601751
1891.125,0.215393324,0.16168537,0.88487464,0.091041992,0.821999556,0.055129618
1891.25,0.212778171,0.158280846,0.887617461,0.090971439,0.822717636,0.055555144
1891.375,0.211086788,0.156380934,0.890145997,0.090427744,0.823873513,0.055878331
1891.5,0.209147882,0.154077863,0.892731951,0.090010827,0.824912083,0.05622894
1891.625,0.208132746,0.158682221,0.893373807,0.09173862,0.826430413,0.056477208
1891.75,0.206870086,0.161435738,0.894536582,0.09289174,0.827820192,0.056752899
1891.875,0.205359904,0.162338416,0.896220276,0.093470186,0.829124149,0.057056011
1892,0.203916044,0.163737025,0.897764391,0.094202616,0.830451101,0.057351776
1892.125,0.19362284,0.158173028,0.896217002,0.090171036,0.83298137,0.05682592
1892.25,0.18570081,0.154474656,0.895497978,0.087415968,0.835189211,0.056520216
1892.375,0.180149956,0.152641908,0.895607321,0.083987189,0.837074625,0.056434665
1892.5,0.173963746,0.150309267,0.895494704,0.08073893,0.839046433,0.056290124
1892.625,0.169998559,0.149842252,0.896210452,0.07761544,0.840685846,0.056866159
1892.75,0.16543825,0.148875343,0.896704241,0.074458518,0.842414325,0.057249117
1892.875,0.160560233,0.147408542,0.89697607,0.073449236,0.844231868,0.056514454
1893,0.155767345,0.146075687,0.897307372,0.071864496,0.846025546,0.056079257
1893.125,0.175928929,0.154996587,0.898640875,0.077549558,0.846969363,0.053670178
1893.25,0.189403982,0.161170002,0.899705838,0.081286682,0.848140899,0.051789999
1893.375,0.196192505,0.164595931,0.900502264,0.083075869,0.849540155,0.05043872
1893.5,0.204772679,0.168758046,0.901370644,0.085387004,0.850878394,0.048945723
1893.625,0.204693847,0.170172677,0.901970485,0.085241459,0.852373073,0.048358309
1893.75,0.206935189,0.172323493,0.902642281,0.08575418,0.853825833,0.047528245
1893.875,0.211496704,0.175210497,0.903386031,0.086925166,0.855236676,0.04645553
1894,0.215436531,0.177900239,0.904110502,0.087919771,0.856658751,0.045447834
1894.125,0.21441793,0.178888772,0.902951055,0.092655207,0.857562261,0.045156403
1894.25,0.214727935,0.180333142,0.902296403,0.096388289,0.85860472,0.04467305
1894.375,0.216366548,0.18223335,0.902146544,0.09911902,0.859786127,0.043997773
1894.5,0.217649161,0.184011417,0.901861426,0.10211833,0.860930304,0.043373923
1894.625,0.220260381,0.186245322,0.898406692,0.104685636,0.861380067,0.042558149
1894.75,0.222515602,0.188357085,0.895801254,0.107368697,0.862015898,0.041793801
1894.875,0.224414824,0.190346707,0.894045112,0.110167513,0.862553011,0.041080879
1895,0.226409435,0.192369057,0.892061402,0.112935313,0.863116575,0.040354177
1895.125,0.204157054,0.181461564,0.89654563,0.099398365,0.86169559,0.041963667
1895.25,0.188401636,0.174018612,0.89929678,0.09023026,0.860806364,0.042947176
1895.375,0.179143179,0.170040201,0.90031485,0.082400913,0.860439027,0.043304705
1895.5,0.168143866,0.165133468,0.901797298,0.074212847,0.85993185,0.043829964
1895.625,0.125536275,0.130838409,0.896037312,0.066552597,0.859149813,0.045840264
1895.75,0.091398097,0.104417928,0.89221793,0.058750918,0.858441425,0.047452648
1895.875,0.065729332,0.119541673,0.890339153,0.063614482,0.857806685,0.048667117
1896,0.037791194,0.123533676,0.887940392,0.065084405,0.857152211,0.049988207
1896.125,0.074440943,0.149895558,0.893840747,0.073369481,0.855832786,0.047036583
1896.25,0.09378442,0.17026345,0.897517361,0.079828443,0.854691534,0.045229828
1896.375,0.122481267,0.175689763,0.908306417,0.084461289,0.853728455,0.044567945
1896.5,0.148671886,0.18511966,0.9171897,0.089583442,0.852717635,0.043599294
1896.625,0.162770896,0.189828836,0.897002328,0.089104504,0.851825847,0.043628303
1896.75,0.180109843,0.195802926,0.884604415,0.090126374,0.850902164,0.043389991
1896.875,0.199005333,0.203041929,0.87999596,0.092649051,0.849946587,0.042884356
1897,0.217483748,0.209942,0.873300326,0.094769588,0.848999556,0.04245035
1897.125,0.201578838,0.200999197,0.882145207,0.092880373,0.848000607,0.041074638
1897.25,0.194886912,0.19630148,0.88682602,0.092065569,0.847015569,0.039951256
1897.375,0.19740797,0.195848848,0.887342764,0.092325174,0.846044442,0.039080203
1897.5,0.197460417,0.194258748,0.888975267,0.092296891,0.845069588,0.038141539
1897.625,0.207118505,0.196913734,0.887791625,0.093343019,0.844907118,0.037455203
1897.75,0.214202769,0.198431252,0.887362567,0.094101259,0.84452697,0.036701256
1897.875,0.21871321,0.198811304,0.886182777,0.094571612,0.844069911,0.035879698
1898,0.223913304,0.199496138,0.885204145,0.095119104,0.84363346,0.035076257
1898.125,0.223739846,0.20254361,0.886665104,0.094929252,0.844220445,0.034291689
1898.25,0.225006228,0.204958016,0.887472377,0.094936971,0.844533201,0.033502063
1898.375,0.227712448,0.206739354,0.896156326,0.09514226,0.844571728,0.032707381
1898.5,0.230032865,0.208690322,0.902729726,0.095294611,0.844683735,0.031914053
1898.625,0.23379312,0.199661364,0.902897113,0.095644532,0.844351357,0.031115669
1898.75,0.237167572,0.193574469,0.904780986,0.095941515,0.844138051,0.030318639
1898.875,0.24015622,0.190429636,0.908381345,0.096185558,0.843984436,0.029522965
1899,0.243248244,0.186496479,0.911521773,0.096443786,0.843814827,0.028726928
1899.125,0.23550189,0.183995979,0.895179629,0.096955294,0.842605354,0.029229893
1899.25,0.23065967,0.181111599,0.884057825,0.097398936,0.841674512,0.029384792
1899.375,0.228721585,0.177843341,0.87815636,0.097774712,0.841022301,0.029191624
1899.5,0.22600534,0.174677942,0.87085611,0.098168672,0.840295431,0.029091721
1899.625,0.226193229,0.17127111,0.879866,0.098494767,0.839861042,0.02864375
1899.75,0.225602958,0.16792897,0.884505602,0.098839046,0.839348283,0.028289044
1899.875,0.224234526,0.164651522,0.884774914,0.099201509,0.838757154,0.028027602
1900,0.223074602,0.16135674,0.886215241,0.099559101,0.838187024,0.027741169
1900.125,0.227423305,0.166129644,0.893582881,0.096403741,0.839060932,0.028176476
1900.25,0.230295976,0.168740818,0.899362302,0.094189674,0.839547911,0.028418393
1900.375,0.231692614,0.169190263,0.903553504,0.092916899,0.839647962,0.02846692
1900.5,0.233484754,0.170218941,0.908170269,0.091391906,0.839851689,0.028567267
1900.625,0.233800862,0.172156762,0.895744315,0.091699542,0.839705893,0.028474224
1900.75,0.234512472,0.17385098,0.887884945,0.091516126,0.839653751,0.028432999
1900.875,0.235619583,0.175301593,0.884592156,0.090841659,0.839695264,0.028443593
1901,0.23662072,0.176817479,0.880075756,0.090298768,0.839711682,0.028440302
1901.125,0.244204536,0.181912957,0.879610004,0.091748733,0.84056131,0.028400929
1901.25,0.250024529,0.186049286,0.878058884,0.092664713,0.84118768,0.028371223
1901.375,0.254080698,0.189226466,0.878125531,0.09304671,0.841590792,0.028351186
1901.5,0.258609482,0.19266065,0.877758699,0.093571787,0.842053725,0.028328559
1901.625,0.261374442,0.191360493,0.885961965,0.089940346,0.843099641,0.028503895
1901.75,0.264612018,0.191328899,0.89186888,0.087422641,0.843989347,0.028626187
1901.875,0.268322208,0.192565868,0.884272823,0.086018671,0.844722844,0.028695435
1902,0.271905762,0.193462926,0.880294878,0.084316277,0.845498197,0.028778895
1902.125,0.274665803,0.195465415,0.883312911,0.086511547,0.845918031,0.03197786
1902.25,0.277646504,0.197171705,0.884456378,0.087662441,0.846433126,0.034342027
1902.375,0.280847865,0.198581795,0.894276957,0.08776896,0.846653155,0.035871398
1902.5,0.283990099,0.200071252,0.901772511,0.088155317,0.846952246,0.037624452
1902.625,0.282956649,0.187370815,0.89260288,0.087497299,0.845378717,0.044567925
1902.75,0.28304207,0.178472548,0.887898672,0.087119121,0.844306955,0.05012063
1902.875,0.311655896,0.216890007,0.839126574,0.087020782,0.842883905,0.055265521
1903,0.332625558,0.257910949,0.802162432,0.086847461,0.841554982,0.05270408
1903.125,0.429317173,0.368797176,0.757737175,0.090054253,0.837970421,0.041304825
1903.25,0.505719152,0.436113209,0.723262573,0.092355346,0.834990257,0.032273654
1903.375,0.538477385,0.311918346,0.772228361,0.093750741,0.832439091,0.036826776
